"learner","auc","brier_score","log_loss","n_test","events_test","direct_parent_count","direct_parents","interpretation"
"Oracle structural P(Y|direct parents)",0.700822455293141,0.0758739311389722,0.274102053929801,2002,174,2,"individual_factors; mineralized_renal_material","Upper discrimination available from the true simulated conditional risk score"
"Logistic regression: direct parents",0.700982796347997,0.0758564235954597,0.273920718719561,2002,174,2,"individual_factors; mineralized_renal_material","Correctly specified parametric model estimated from the training data"
"Logistic regression: all 28 ancestors",0.690507180764104,0.0761301535427779,0.276027432361512,2002,174,2,"individual_factors; mineralized_renal_material","Parametric benchmark with all eligible ancestors"
"Ranger probability forest: all 28 ancestors",0.656579327950904,0.0771175518438456,0.283475904229849,2002,174,2,"individual_factors; mineralized_renal_material","Flexible nonparametric benchmark"
"XGBoost: all 28 ancestors",0.68367067833698,0.0761126817831398,0.278026791686062,2002,174,2,"individual_factors; mineralized_renal_material","Primary learner used for the SHAP comparison"
