"method","variable","source_node","distance","structural_role","raw_importance","normalized_importance","rank"
"Ordinary interventional SHAP","astronaut_selection","Astronaut Selection",2,"upstream_root",0.0172163563279355,0.0216395307030704,7
"Ordinary interventional SHAP","bisphosphonates","Bisphosphonates",4,"intermediate_ancestor",0.00237329532322406,0.00298303520420449,18
"Ordinary interventional SHAP","bone_fracture_risk","Bone Fracture (Risk)",4,"upstream_root",0.00499454677571975,0.00627773067903673,13
"Ordinary interventional SHAP","bone_remodeling","Bone Remodeling",3,"intermediate_ancestor",0.0216515020580914,0.0272141407060343,6
"Ordinary interventional SHAP","co2_risk","CO2 (Risk)",3,"upstream_root",0,0,24.5
"Ordinary interventional SHAP","crew_health_and_performance_system","Crew Health and Performance System",4,"intermediate_ancestor",0.000775589083673367,0.000974851093310789,20
"Ordinary interventional SHAP","distance_from_earth","Distance from Earth",6,"upstream_root",0,0,24.5
"Ordinary interventional SHAP","food_and_nutrition_risk","Food and Nutrition (Risk)",5,"upstream_root",0,0,24.5
"Ordinary interventional SHAP","hostile_closed_environment","Hostile Closed Environment",5,"upstream_root",0,0,24.5
"Ordinary interventional SHAP","hsia_risk","HSIA (Risk)",5,"upstream_root",0,0,24.5
"Ordinary interventional SHAP","humidity","Humidity",5,"intermediate_ancestor",0.000842070345981938,0.00105841252114734,19
"Ordinary interventional SHAP","hydration","Hydration",4,"intermediate_ancestor",0.0122577055157649,0.0154069182703421,9
"Ordinary interventional SHAP","individual_factors","Individual Factors",1,"direct_parent",0.241569628013053,0.303632968715664,2
"Ordinary interventional SHAP","k_plus_citrate","K+ Citrate",3,"intermediate_ancestor",0.0043292108902051,0.00544145870323618,14
"Ordinary interventional SHAP","medical_prevention_capability","Medical Prevention Capability",3,"intermediate_ancestor",0,0,24.5
"Ordinary interventional SHAP","medical_treatment_capability","Medical Treatment Capability",6,"intermediate_ancestor",0.0127443300472976,0.016018564909758,8
"Ordinary interventional SHAP","microbiome","Microbiome",3,"intermediate_ancestor",0.00417312032769246,0.00524526582388278,15
"Ordinary interventional SHAP","microhost_risk","Microhost (Risk)",4,"upstream_root",0.00512634652011457,0.00644339201649758,12
"Ordinary interventional SHAP","mineralized_renal_material","Mineralized Renal Material",1,"direct_parent",0.315675857874282,0.396778347785728,1
"Ordinary interventional SHAP","nutrients","Nutrients",4,"intermediate_ancestor",0.00907549816776054,0.011407147802131,10
"Ordinary interventional SHAP","pharm_risk","Pharm (Risk)",4,"upstream_root",0,0,24.5
"Ordinary interventional SHAP","resistive_exercise","Resistive Exercise",4,"intermediate_ancestor",0.00811296835161102,0.0101973277268232,11
"Ordinary interventional SHAP","thiazides","Thiazides",3,"intermediate_ancestor",0.0274448024791241,0.0344958384093764,4
"Ordinary interventional SHAP","urine_chemistry","Urine Chemistry",2,"intermediate_ancestor",0.0749142767120645,0.0941610268822442,3
"Ordinary interventional SHAP","urine_concentration","Urine Concentration",3,"intermediate_ancestor",0.0270946680405473,0.0340557484861973,5
"Ordinary interventional SHAP","vehicle_design","Vehicle Design",5,"intermediate_ancestor",0.00267021467323048,0.00335623817865582,16
"Ordinary interventional SHAP","water_intake","Water Intake",5,"intermediate_ancestor",0,0,24.5
"DAG-constrained asymmetric SHAP","altered_gravity","Altered Gravity",4,"upstream_root",0.00322817715277779,0.00403670209754559,16
"DAG-constrained asymmetric SHAP","astronaut_selection","Astronaut Selection",2,"upstream_root",0.0153963310318659,0.0192524755704191,7
"DAG-constrained asymmetric SHAP","bisphosphonates","Bisphosphonates",4,"intermediate_ancestor",0.0019482696528712,0.00243623067202563,18
"DAG-constrained asymmetric SHAP","bone_fracture_risk","Bone Fracture (Risk)",4,"upstream_root",0.0046985551994112,0.00587534906892469,12
"DAG-constrained asymmetric SHAP","bone_remodeling","Bone Remodeling",3,"intermediate_ancestor",0.0233567281634919,0.0292066231520907,6
"DAG-constrained asymmetric SHAP","co2_risk","CO2 (Risk)",3,"upstream_root",0,0,24.5
"DAG-constrained asymmetric SHAP","crew_health_and_performance_system","Crew Health and Performance System",4,"intermediate_ancestor",0.000629057062724314,0.000786609855778848,20
"DAG-constrained asymmetric SHAP","distance_from_earth","Distance from Earth",6,"upstream_root",0,0,24.5
"DAG-constrained asymmetric SHAP","food_and_nutrition_risk","Food and Nutrition (Risk)",5,"upstream_root",0,0,24.5
"DAG-constrained asymmetric SHAP","hostile_closed_environment","Hostile Closed Environment",5,"upstream_root",0,0,24.5
"DAG-constrained asymmetric SHAP","hsia_risk","HSIA (Risk)",5,"upstream_root",0,0,24.5
"DAG-constrained asymmetric SHAP","humidity","Humidity",5,"intermediate_ancestor",0.000835516709287276,0.0010447791100969,19
"DAG-constrained asymmetric SHAP","hydration","Hydration",4,"intermediate_ancestor",0.0122669270966185,0.015339285298748,9
"DAG-constrained asymmetric SHAP","individual_factors","Individual Factors",1,"direct_parent",0.237599245185834,0.297108035285982,2
