"method","kendall_tau_vs_truth","spearman_rho_vs_truth","top5_recovery","ndcg_at_5","normalized_mean_distance","pbi","proximal_mass_distance_le_2","upstream_mass_distance_ge_3","proximal_to_upstream_ratio","truth_mean_distance","poa"
"Ordinary TreeSHAP",0.522364529266804,0.647884332685988,0.6,0.925716921462553,1.56590510157116,1.08200195927325,0.830791771822217,0.169208228177783,4.90987808789844,2.64790706084441,0.21640039185465
"Ordinary interventional SHAP",0.505868807289958,0.63847062870679,0.6,0.925716921462553,1.59716426371579,1.05074279712862,0.816211874086706,0.183788125913294,4.44104791879631,2.64790706084441,0.210148559425724
"DAG-constrained asymmetric SHAP",0.527863103259086,0.651760563736246,0.6,0.925716921462553,1.59703158970786,1.05087547113655,0.812358762388941,0.187641237611059,4.32931893186929,2.64790706084441,0.21017509422731
