"iteration","ordinary_kendall_tau","causal_kendall_tau","delta_kendall_tau","ordinary_spearman_rho","causal_spearman_rho","delta_spearman_rho","ordinary_top5_recovery","causal_top5_recovery","delta_top5_recovery","ordinary_ndcg_at_5","causal_ndcg_at_5","delta_ndcg_at_5","ordinary_pbi","causal_pbi","improvement_absolute_pbi","ordinary_poa","causal_poa","improvement_absolute_poa","ordinary_proximal_mass","causal_proximal_mass","reduction_proximal_mass"
1,0.533361677251369,0.538860251243651,0.00549857399228215,0.652868058322034,0.663943004179914,0.0110749458578802,0.6,0.6,0,0.936526147459691,0.925716921462553,-0.0108092259971376,1.06972090129494,1.07807290430207,-0.00835200300712846,0.213944180258989,0.215614580860414,-0.00167040060142562,0.817100500041672,0.817062614264262,3.78857774102626e-05
2,0.51136738128224,0.533361677251369,0.0219942959691286,0.640131870585472,0.656744289372292,0.0166124187868202,0.6,0.6,0,0.925716921462553,0.925716921462553,0,1.05166250807448,1.03389994597617,0.0177625620983062,0.210332501614895,0.206779989195234,0.00355251241966137,0.817049086563042,0.805446783426162,0.0116023031368796
3,0.522364529266804,0.527863103259086,0.00549857399228215,0.653421805614928,0.64954557456467,-0.00387623105025803,0.6,0.6,0,0.926274329247735,0.926274329247735,0,1.03421192154367,1.03942223975552,-0.00521031821184814,0.206842384308734,0.207884447951104,-0.00104206364236958,0.809689820052783,0.808864467431255,0.000825352621528053
4,0.538860251243651,0.527863103259086,-0.0109971479845643,0.663943004179914,0.652868058322034,-0.0110749458578802,0.6,0.6,0,0.926274329247735,0.926274329247735,0,1.00026947014425,1.01530298424467,-0.015033514100423,0.200053894028849,0.203060596848934,-0.00300670282008458,0.794470953318726,0.800296368760307,-0.00582541544158033
5,0.516865955274522,0.527863103259086,0.0109971479845643,0.651206816443352,0.653421805614928,0.00221498917157592,0.6,0.6,0,0.925716921462553,0.925716921462553,0,1.07057015208173,1.05959345241666,0.0109766996650735,0.214114030416347,0.211918690483332,0.00219533993301479,0.826311736173567,0.813104016702698,0.0132077194708692
6,0.538860251243651,0.538860251243651,0,0.665050498765702,0.661174267715444,-0.00387623105025803,0.6,0.6,0,0.926274329247735,0.94322855412957,0.016954224881835,1.0113715652804,0.994346703008415,0.0170248622719875,0.20227431305608,0.198869340601683,0.00340497245439753,0.803837443138289,0.794266609039814,0.00957083409847503
7,0.516865955274522,0.533361677251369,0.0164957219768465,0.639578123292578,0.652868058322034,0.0132899350294561,0.6,0.6,0,0.926274329247735,0.926274329247735,0,1.04487797109986,1.05820802041065,-0.013330049310792,0.208975594219972,0.21164160408213,-0.00266600986215834,0.809125417857255,0.806885533857214,0.00223988400004116
8,0.533361677251369,0.533361677251369,0,0.64123936517126,0.658959278543868,0.0177199133726083,0.6,0.6,0,0.938308054118864,0.938308054118864,0,1.05408812836303,1.04034002897198,0.0137480993910561,0.210817625672606,0.208068005794395,0.00274961987821123,0.823351016581173,0.813663934352669,0.00968708222850412
9,0.533361677251369,0.533361677251369,0,0.661728015008338,0.663943004179914,0.00221498917157603,0.6,0.6,0,0.925716921462553,0.936526147459691,0.0108092259971376,1.02635641246527,1.00464243792852,0.0217139745367478,0.205271282493053,0.200928487585704,0.00434279490734954,0.806515342322058,0.795276589723049,0.0112387525990083
10,0.505868807289958,0.522364529266804,0.0164957219768465,0.639024375999684,0.648438079978882,0.00941370397919816,0.6,0.6,0,0.925716921462553,0.925716921462553,0,1.08790368466281,1.0859999875371,0.00190369712571026,0.217580736932563,0.217199997507421,0.000380739425141996,0.83404753044883,0.826681196411591,0.00736633403723874
