"metric","bootstrap_mean","percentile_2_5","percentile_97_5","probability_favors_causal","zero_fraction"
"delta_kendall_tau",0.00761552497931078,-0.0109971479845643,0.0274928699614108,0.672,0.151
"delta_spearman_rho",0.00560475322502669,-0.011628693150774,0.0221498917157603,0.7385,0.017
"delta_top5_recovery",-2e-04,0,0,0,0.999
"delta_ndcg_at_5",0.00104606683839116,-0.0108092259971376,0.0157297260078429,0.2085,0.6755
"improvement_absolute_pbi",-0.000164660533923306,-0.021892115084442,0.0231004443165522,0.4805,0
"improvement_absolute_poa",-3.29321067846636e-05,-0.00437842301688835,0.00462008886331036,0.4805,0
"reduction_proximal_mass",0.00374187755431412,-0.00720103018810414,0.0141613224843968,0.7585,0
