"graph_id","risk","supplied_by","received_date","source_version","source_file","node_count","edge_count","exposure_count","outcome_count","latent_count"
"robert_renal_stone_20220322","renal_stone","Robert Reynolds","2026-07-13","Renal Stone Risk Edge Work DAG CM Final - Errata 20220322","references/robert-reynolds-2026-07-13/Renal Stone Risk.txt",53,83,3,7,0
"robert_sans_20220411","sans","Robert Reynolds","2026-07-13","SANS Risk Edge Work DAG CM Final - Errata 20220411","references/robert-reynolds-2026-07-13/SANS Risk.txt",50,89,2,5,0
