"comparison","node_count","directed_pair_count","reference_edge_count","candidate_edge_count","true_positive","true_negative","false_positive","false_negative","observed_agreement","cohen_kappa","precision","recall","f1","structural_hamming_distance","exact_match"
"robert_renal_stone_20220322 source vs canonical CSV round-trip",53,2756,83,83,83,2673,0,0,1,1,1,1,1,0,TRUE
"robert_sans_20220411 source vs canonical CSV round-trip",50,2450,89,89,89,2361,0,0,1,1,1,1,1,0,TRUE
